output,correct out,translated
he remminder wil be o wil beiy so we wil rettuorn  gisd fou in other words we are garintty,"the remainder will be 0, so we will return gcd of 0. in other words, we had guaranteed",जैसा कि हम यह कहते हैं कि यह ते भागों में आता है
e start this isthis is ocaly alborin the first version,"start. this is euclidÃ£â€¢s algorithm, the first version","रिफिल फिट करने की कोशिश कर रहे हैं, लेकिन डिस वास्तव में पूर्ण है"
were we observe that the it of m an  can be wreplaset by the disd of m and m minaon am,where we observe that the gcd of m and n can be replaced by the gcd n and m minus n. and,Dawit Stins Las I Previos r हम अन्य चीज़ों को देखते हैं w e इसे कर सकते हैं यह sringl
aywil insted compute deced om other value and use that aner to retern my anr,well instead compute gcd's on some other value and use that answer to return my answer.,"स्ट्रिंग उसे वास्तव में एक प्रारूप मेट्रो को कॉल करने जा रहा है, सितारों को स्वैड"
beginin so we insteaed starting from on and working upwords to the indemommothem,"the beginning. so, instead of starting from 1 and working upwards to the minimum of m",ईब्रेस में मजेदार चीजों के लिए हम taot के ब्रेसिज़ में मजेदार चीजें
and theon ses a hatsowich as to this stat mentt wos not part w the python,"and then sees the hash, so itÃ£â€¢s as though this statement was not part of the python",एक फ़ंक्शन में ueulentof तर्क thes r r thins को बदलने के लिए recset b वास्तविक
a ne tis bertr to start with minimom of em anm n and whart bacword is to  an a,"and n its better to start with minimum of m and n and work backwards to one, and as",pasid python resrltting बात irst calin r [unk] ee cal en e है क्योंकि पहले ef
can put it on a seperat lin oricin put it at the and of thelin,can put it on separate line or you can put it at end of the line.,"हम एक ही काम के बजाय एक ही काम करते हैं, इसलिए यह बिल्कुल निश्चित रूप से एक फ़ंक्शन था"
so this pinte if we are fownd enseas that n divides em we are don,do some computation. at this point if we have found n such that n divides m we are done,OS [unk] एक st के रूप में उसे evs हम नाम का उपयोग कर रहे हैं और न कि उस क्रम में स्थिति
pn actualy prduses a reminder s this not eual to sinb is ritin with is eformation m,"by n actually produces a remainder. so, this not equal to symbol is return with this exclamation",n एक स्ट्रिंग और हम हमें इस रिंग में देर से आदेशों के लिए मानों को कैसे बदलें
emember that this tubal ekual dto wous what woe use for the magmanialsimplaf ekuality s,remember that this double equal to was what we use for the mathematical symbol of equality.,एक में एक खाली जगह खोलता है या क्योंकि WUS ने आर और सीएल के साथ ए में टॉपट रिन संग्रहीत किया है
as sonas we finded he coman factor we reported and inert rememb,soon as we find a common factor we report it and exit.,"हम जो चाहते हैं, उसके लिए एक स्पेस रोम"
alwayse that o is garaeiny to a opp a comand ffactor so wen we start from mim,remember always that 1 is guaranteed to be a common factor. so when we start from minimum,डेस्टोटपंट सहित मूल्य सब कुछ carectors रास्ता फाइनल होने जा रहा है
or scacse and wil become one and one wil divide evere thin,worst case n will become 1 and 1 will divide everything.,टी का कहना है कि अगर मैं इसे लागू करता हूं तो डिसिनी के बाद मेनी डिसिट होल कैसे दिखाता है
otr her so if it hels yo can lok at thes side by side and tride to an derstand what,"wrote earlier, so if it helps you can look at these side by side and try to understand","अब कभी -कभी हम एक लिटली बिटमेट बनना चाहते हैं, इसलिए इसके लिए हम या मा का उपयोग कर सकते हैं"
te uuithing is doing and what the wide is doing and sy that ther bis ic,what this recursive things is doing and what the while is doing and see that they are basically,एच कर सकते हैं
du ing the same thing and te idea that the recerion must come in,doing the same thing. and the idea that the recursion must terminate,"यह मानते हुए कि वह एक फ़ंक्शन स्क्वायर को परिभाषित करता है, जो कि इंस्ट्रटर्न्स एटेंस को प्रभावित करता है"
wil egits so gust like a ecursion can o on for ever if you dont if u,"the while exits. so, just like the recursion can go on forever, if you are not careful",और समझदार होने के कारण यह ठीक वैसा ही है जैसा कि हम लाभ से पहले रहते हैं
them and mn and go bac words if we do not sey any other coman factor we ar stil,"of m and n and go backwards, if we donÃ£â€¢t see any other common factor, we are still",ला टू एनोथेरे प्ला
rnot cerful than yoldot ino it with argoumencs which garante termination the wis an also,"and you do not invoke it with arguments which guarantee termination, the while can also",यह स्पष्ट रूप से उपयोग किया जाता है जब हम अन्य फ़नटेशन के लिए कार्य करते हैं और ऐसी स्थितियों में पसंद करते हैं
we can actualy o litl beitor than this  so let us se oe provlome with this vite ling a han,we can actually do a little better than this. let us see one problem with this by doing,जो एक स्ट्रिंग लेता है और इसे tietcuur के रूप में प्रतिनिधित्व करने की कोशिश करता है यदि S एक मूल्यवान पुनर्मिलन है
nd executions sopousing we start with som omverikgdof one hundered and o nd  thenour,"a hand execution. so supposing we start with some number like gcd of 101 and 2, then our",और यह efectively के समान है जैसे कि एक ustinint है तो अगर हम POWR हैं
aorom wil sayn that this should now bgdom da d the diffence and n the diffence eis niny,"algorithm will say that this should now become gcd of the difference and n, the difference",एक वैध संख्या नहीं आप एक उत्पन्न करेंगे
weil cep douing this abourt fif[UNK] steps and then ivent surli wil come down o  d  and,we will keep doing this about 50 steps then eventually we will come down to gcd of 5 and,यह प्रदान नहीं किया गया है और स्थानापन्न डीईएफ या वॉल्ट टैन जीता है
caraty that we wil egit corectly when we hit on so what we nottist that waols that,"guaranteed that we will exit correctly when we hit one. so what we notice that was, that","नहीं, अगर हमने इसे एक मूल्य प्रदान किया है तो उदाहरण के लिए हम प्रकार की समझ भी बना सकते हैं"
ewrthe meindr no sto t if we were gust computing factors weisay that thris only factor of,"the minimum is 2, if you were just computing factors we will see that the only factor of",nynot हमें यह uselye ritl का उपयोग करके egs coresponeo का उपयोग कर रहा है कि हम क्या सोचते हैं
is s ad is not a factro inded an o nue a stop rite ap so this actual,2 is 2 and it is not a factor 101 we would have stopped right at beginning. this actually,isyth स्थिति विज्ञापन उसकी वाउ स्पीशिशनो है हम हवलदार समय stm boe hstm
semesutin wurst than our riar arhi in sertan casesso,seems to be worst then our earlier algorithm in certain cases.,vpss pyp तो neumarick के संदर्भ में यह yve par पर वापस आ जाएगा
tho thes difernt versions are simplere than the erliere versions the al have the same,though these different versions are simpler than the earlier versions they all have the,o फ़ंक्शन अपन्शन में VAU प्रदान करने के लिए एक विकल्प एक de argiem नहीं है
rithmeatik so this is pouse mbousing to m kueue nimes and leves aremind ar art and we are garentt it that ar,arithmetic. n goes into n q times and leaves a remainder r and we are guaranteed that r,vluedtay अन्य wis को ले लो यह वू मान लिया गया मूल्य प्रदान करता है
vri smoler than an otheor is aor it o go one more taml become pleson so we hae,"is smaller than n, otherwise r it could go one more time it will become q plus 1. we",यहाँ एक inplota प्रकार है तो supouse हम arguemint के साथ एक समारोह और
r remind a ardte s moniso fogmpl if sa  and a lon to deivide,have the remainder r which is smaller than n. so for example if i say 7 and i want to,विशेष रूप से आप आगे बढ़ सकते हैं और इसे परिभाषित कर सकते हैं जैसे आप दूसरे में जाते हैं
comen deviser fo bwoat m mand in other words like efore we can pride m itself,a common divisor for both m and n. in other words like before we can write m itself as,जैसा कि हम नाम v के साथ सहयोगी के रूप में एक समारोह के शरीर के शरीर के साथ एक creta s
so is m so if we pluk us in to vheueation above ther then we sse that m which es,"so is n. if you plug this into the equation above here, then we see that m which is a","DictionAver Anothoso पर नहीं, आप USFL W को ड्यूस क्यों करना चाहेंगे"
aswe,well.,ईवे जिसमें आप यह कर सकते हैं या यह सुविधा किसी अन्य फ़ंक्शन के लिए एक फ़ंक्शन को पास करना है
he sameas befour othe wis let ar bwei the reminder is a valu,"same as before. otherwise, let r be the remainder with the",तो Soppouse हम एक givene function ef ule argumentndtyps लागू करना चाहते हैं तो हम कर सकते हैं
spinde on i onthing toe remember is that ar is definitly lest than it so we do nt,point one important thing to remember is that r is definitely less than n. so we do not,दूसरा है argent n therd विकल्पों की संख्या की संख्या है
bo numbers and we the implats n iy the reinder and we proucede now we ar arrining the,two numbers and we replace n by the remainder and we proceed. now we are guaranteed that,अधिक मेनिंग फुल नाम और फिर यह बताता है कि यह फ़ंक्शन ry मानों के रूप में ry मान करता है
s f we go back wit the exampole that we were loing at s wesaw that l ondrd and,"if we go back to the example that we were looking at, so if we saw that gcd 101, 2,","ऐसा करने के लिए उपयोगी कुछ भी नहीं है, अगर हम STACS के साथ ट्यूपिट कहते हैं तो एक फ़ंक्शन है"
nmber of stepsoc at bilion steps but this arboron because of the clame that it takes tangoushi,of steps say a billion steps. but this algorithm because of the claim it takes time proportional,प्रोग्राम ओटाइड एक कथन जो कि नाम का मान है और फिर हम टी टी
us ov wat programing deta strcturs and adgurmso the programing,"is about programming, data structures and algorithms. so the programming part talks",क्या मेरे नाम की अलग -अलग प्रतियां हैं जो किसी फ़ंक्शन के अंदर उपयोग की जाती हैं
to macke sure that iscorect and esy to rede and maintain so that is a program,"to make sure that it is correct and easy to read and maintain, so that is the programming",डू बिची सिर्फ हमें एक ही नाम के अंदर और बाहर लेकिन कुछ समय के लिए भ्रमित कर रहा है
thes ideas but te ideas themsels come from lgerihom and data strutur,"these ideas, but the ideas themselves come from algorithms and data structures. ","एक लेकिन पाप हम वैसे भी संचालन नहीं करते हैं, हम स्वतंत्र रूप से वाईएन वेवर का उपयोग कर सकते हैं जो हम चाहते हैं"
st from thes to lists egtract thelist of comin factors and wreport the largiest oe,"list, from these two lists, extract the list of common factors and report the largest one",isint यह एक थोड़ा सिएटल ipso listt es देखो यह lir पर देखो
tourn out the ds also the lagerst diviser hich is comenttt m  an n minaem,"turn out that d is also the largest divisor which is common to m, n and m minus n.","तो वेदर पायथन कार्यक्रम रीड है यह ईएफ की परिभाषा को छोड़ देता है, लेकिन निष्पादित नहीं होता है और नहीं"
here is the first version of uqleis br so consider h value gv of,"so here is the first version of euclidÃ£â€¢s algorithm. so, consider the value: gcd of",एक फ़ंक्शन में हमारे पास इस अल रिटर्न की तरह एक बयान हो सकता है
in this comin factor list our first implicfication wos to obsere that we can actualy dow wr singl,in this common factor list. our first simplification was to observe that we can actually do a single,बयान एक कथन विल्स का निर्माण करेगा
computing the gcidy of man and that we started wih we compute the gctd of m an m min a se,"computing the gcd of m and n that we started with, we compute the gcd of n and m minus",इस tine n thes के समारोह को पुनरावर्ती फ़ंक्शन sunctions कहा जाता है जो उन पर भरोसा करते हैं
so here is a python implementation of this idea so therear a ts of new fectures that ar,"so, here is a python implementation of this idea. there are a couple of new features that",oto in ist to nowto onso you taye m और maltti btyt y lther umbe
inred used here so let us lo at thm the first is thispaciao stat men e,"are introduced here, so let us look at them. the first is this special statement which",ofunctions को defjind befor tha का उपयोग किया जाना चाहिए और यह एक ud res a to u है
oa coment tis a statment that you put in to a programe  to exgclaime what is going on to,so a comment is a statement that you put into a program to explain what is going on to a,कैलेक्स फ़ंक्शन की शुरुआत की शुरुआत में HEOR कार्यक्रम की शुरुआत करें ताकि पायथन की व्याख्या की जा सके
person reing the program but it is ignord hiethe comuter eecutting the programs,"person reading the program, but it is ignored by the computer executing the program. so,","यह जो ईके और रीसोसिन को सत्ता में ले जाता है, इसलिए हमें फंक्शन गस्ट में गस लोक"
of fam wolsonthe value of vnm  o eit is important that i a simantainies,"value of m goes into the value of n. now it is important that it is simultaneous,",समझें कि कॉर्ड क्या है इसलिए हम मानते हैं कि ANSER का मान O और N है
wuring about having this ekra temperedacse to part on vau,worrying about having this extra temporary place to park one value.,के रूप में mny y के रूप में वहाँ के रूप में edo में n mind के रूप में o ti montipply inanser
is satisfiyd so now we come to the akof the if n divide s m,assumed is satisfied. so now we come to the crux of the algorithm. if m divides n that,erformsa अंडाशय दिखाता है कि इसका क्या मतलब है जिसका उपयोग किया जाना चाहिए और fyve का उपयोग किया जाना चाहिए
dt withthe mackelmi value a en in the difference as the first argumen and the eldlemor,call gcd with the maximum value of n and the difference as a first argument and the minimum,के लिए उपयोग करें और हम फिर अपने यूडी में मान एमुलेटर के साथ इस कोर को रोंड करेंगे
value of faenan lit   ad sertoin t the buidgor of the t  value,value of n and the difference. so it will make sure that the bigger of the two values,एक फ़ंक्शन स्टेट्स का एक व्रप है जो एक दिए गए tasc को pefom करता है
this provlm by soling a smalere provlom and using that ancsere ind tis case dectly,this problem by solving the smaller problem and using that answer in this case directly,इस अस्सिटेंस द्वारा एक Simeend Basillysas सेट। नाम ek का मान ek to Vale
but the scily of eman insted we sale the geisl of n and and in aen n whatever anser that gie,the gcd of m and n instead we solve the gcd n and m minus n and whatever answer that gives,सड़क के नियमों में सिनमेट के रूप में
of the largest comin factor we have sen so are in a singgl name and reportit at the,of the largest common factor we have seen so far in a single name and report it at the,और अंत में ब्रिटनी का मूल्य दोहराने के लिए
stork inputt so formaly what we harve to insure is that this garantt of find,"a stopping point. so, formally what we have to ensure is that this guarantee of finding",ईओ और एले माइन इज़ नॉट यह ओ डोस ओ की तुलना में रैटर है और यह isticly सूची inthe lan
er seinso fain,we have seen so far.,"ARDATB पर तो हम क्या करेंगे, यह है कि यह है"
pueating  so this megs o more rediaall coe and ingenerl more redeal corde meg,"repeating over. this makes for more readable code. and in general, more readable code makes","अलग -अलग तर्क ओ कम्प्यूटेशन के एक yuenieit का गठन करते हैं, जिसका उपयोग पुन: उपयोग किया जा सकता है"
otht programs what do nede to do torite a gold programe wen firt,"for a better program. so, what do you need to do to write a good program? well first","कि हम एक imottabal yso होगा, यह एक sonewe cal यह नहीं है कि हम क्या करते हैं"
for u to validate as bncorect and for somebedty ls to onderstand and if nes sary upd,"for you to validated as being correct, and for somebody else to understand and if necessary",हम नंबरों की एक सूची पर बैठे ममग्स लेवेन एल की एक सूची
phhas a style use the style o make for the most iefectie and redaebale col can ined,has a style use the style to make for the most effective and readable code you can find;,क्या होता है tisidso के रूप में y के रूप में hesefor बयानों को निष्पादित करने के बाद उम्मीद होगी
oud have a for uuse it do not fourcors hart to uuse a wye and so,"if you have a 'for' - use it, do not force as i said to use a while and so on. ",एक उल्लू अब कुछ अन्य हैं
tat al the facttorsmrsliye betwen  and m so this is something haccan nacturlally compute,that all the factors must lie between 1 and n. this is something we can naturally compute,Aout यह फ़ंक्शन es t listdate e है कि हमारे पास यहाँ t reternstatements ett है
the way we are ritan is  pring itf wil corectly report thaton thes not aplin but thes ar,"way we have written isprime, it will correctly report that 1 is not a prime, but these are",ond या रिटर्न ole विचार यह है कि कॉलिंग फ़ंक्शन के लिए indnicuat
her so we have y levers of functions now tims ou  wich cals is prine wich,"do not see here. we have three levels of functions now, primesupto which calls isprime, which",मूल्यवान है और en ithe वापसी tro ar fal opdetsobpe पर निर्भर करता है
enhmewill come iffinrs sor we miht be able tofigre out jest by ling at,"the n th prime will come. if n is small, we might be able to figure out just by looking",इसमें से ऐसे कार्य हो सकते हैं जो किसी भी तरह से एक विशिष्ट उदाहरण वापस नहीं करते हैं
puicheck y prims and we nede a list of al the prinur of sy,"a time to check if they are primes, and we need a list of all the primes we have seen",emay अब ritrn functionso by dfor क्या हैपिनेसेथैट एक फ़ंक्शन निष्पादित किया जाता है
of frines mso this says take these  values the reee nams an as,"of primes is empty. so this says, take these three values, take three these names and assign",o इस समस्या को हल करने के लिए पहला अवलोकन हम मैटिस कर सकते हैं कि अगर हमारे पास एक अनुक्रम है
andplist is the emplisso this is the same efect theis particulr a singdn,"1; and plist is empty. so, this has the same effect this particular assignment.",आरोही व्यक्ति जिसे हम ics के साथ शुरू करते हैं वह तब बी और एसई पर मोलिस्ट है
inmpal function wich hst taks a list of factors givs back the list of factor,simple function which just takes the list of factors gives back the list of factors,m और आप r bac शब्दों को नीचे ले जाते हैं यदि हम NEKT pluolmitation हम ढूंढना चाहते हैं
the vlue of con and we have fowd a pri so we must ad it to the list of pris,"the value of count. and we have found a prime, so we must add it to the list of primes. if",एक के रूप में iprementeid जो कि यह उतना ही लार्घ है जितना कि यह सकारात्मक रूप से होगा
number a uld wbe dit a kcont of en so weoutside theif so this is one con ditional,"number and until we hit a count of n. so, we outside if, so this is unconditional we",यह इस लाल बॉक्स के भीतर कार्यान्वित aiy को शॉर्टिस्ट खोजने के लिए इसे बढ़ाना होगा
echtime we implrement comt we are making progrems toworde this wilis dormenattingso remembere,"each time, we increment count we are making progress towards this while terminating. remember",ऑफिस का नाम हेस्टार्फिक स्टार्ट ऑफ थके जहां कुछ लागू किया जा सकता है
of the inputn,of the input n.,लेकिन वॉरिस विगर टैनली ताकि यहां तक कि हमारे पास एक सूव हैं जो ओ कर सकते हैं
ofcourse weare using fact he implisit fact we now that thare are an inienat um,"of course, we are using fact the implicit fact we know that there are an infinite number",लागू किया जा सकता है और यह पहली स्थिति है जिसे हम एक बना सकते हैं
from wone to nd s itis esy to us a for in nd primes we d ot o now howmany primes,"from 1 to n, so it is easy to use the 'for'. in nprimes, we do not know how many primes,",r इसलिए यह insorted ofistha है कि हम थ्रो कर सकते हैं और पहली स्थिति पा सकते हैं
so let us loa the tipical wais in which we arerite for so the first w,by a while. let us look at the two typical ways in which we write for. the first way,"और हमने वांछित आदेश के लिए जो किया वह है कि Kay द्वारा thepreviate m है, लेकिन क्या संपत्ति है"
distatment or the mit be more serturn  so this a blop of thins,this statement or there might be more statements here. this is a block of things inside the,हम में hefirst Lectr हम पहले से ही अमीर नहीं हैं
ogas n does ont cros  yo egecute the statement egact m statment and you inlement,"as n does not cross j, you execute this statement - the exact same statement, and you increment",पतले की मौखिक योजना में अंतिम प्रीमियर
n  whild comes back her and you check now,"n. so, it comes back here and you check now you",lporitionn यह मामला m smop it kay aftr stopig हम n एक sufic s tert ther n n n ther
and it leigs so we have wad arange in the forme we can hus set up a contter and manwil,"j and it will exit. we have a range in the 'for', we can just setup a counter and manually",o eroto nd manisor तो ech number seo tle man के रूप में r rccous पर eactly wans के रूप में एक calom numbe के रूप में wans
sou you could have as many ekep bloks as you have types of erors whichyou antisupat,"so, you could have as many except blocks as you have types of errors which you anticipate",ordre wich Suears एक टैकल d n के अधीन हैं
errskol it dois not obligitory to handle every cind of err only thous which,"errors for it is not obligatory to handle every kind of error, only those which you","WIL हम स्थानीय SKO पायथन के विषय पर हैं, हमें फ़ंक्शन के भीतर कार्यों को परिभाषित करने की अनुमति देता है"
there is an inece pon n s,there is an index error.,और n हम उदाहरण के लिए ubdate कर सकते हैं wiye forinstane द्वारा Calin Geofeks Pasatarfek Ratther तब
ewil be no koulde ekecuted forthis podevion er itis not that it triyis ach om the,will be no code executed for the zero division error; it is not that it tries each one of,ffso थीयर अंदर के अंदर और मुर्गियाँ जो बाहर दिखाई नहीं दे रहे हैं
oit would come heerfornd this ise not a type o ver,turns that would come here find this is not a type of error.,o पायथन स्कोपिस लोकेल में डिफॉर द्वारा एक फ़ंक्शन के लिए हम SAE कि अगर हम हम नाम ISS
which are not ended and finaly we have an ls wich wil execute if the trye termination,"which are not handled and finally, we have an else which will execute if the try terminates",h so f wou lok up a ek tefirst tryte हैं to to upn f itdoes thea np नहीं
n wl we normaly use exeption handling to dele with errs which we do nt and disepate w,"now, while we normally use exception handling to deal with errors which we do not anticipate.",या तो हम इसे कानूनी रूप से दे सकते हैं कि हम किस उम्र में orates या it के भीतर opdated थे
we sa recently that we can use dictionares oin pyth,we saw recently that we can use dictionaries in python.,एक फ़ंक्शन में आईडी और इसे फ़ंक्शन के साथ upredativel बनाते हैं
with  each ke which is a nam we have a list of skoures,with each key which is a name we have a list of scores.,mim iye सवाल यह है कि थियो क्या कहते हैं
seppose we want to ad a skoure to this so,now suppose we want to add a score to this.,यहाँ एक अमृत है
this is a neowe vacton ther is no key or b in wich case we hve to create a ke b,"this is a new batsman, there is no key for b in which case we have to create a key by",Ou ताकि एक vuncti
bseting hecorse of b ecuale to the list contening his  so we have to ortinittiv motds of operation,setting scores of b equal to the list containing s right.we have two alternative modes of operation,एक डॉट एफ ईसीएए मूवी ईवेन इवेनुएटेट [अनक] अंदर या अंदर है
i so we want to prit s,"so, we want to append it.",उस टिस एक के अंदर
we want to diestinguishe these to kases,"so, we want to distinguish these two cases.",r बाहर एक ek ऊपर जाने के लिए तैयार है कि यह जोर देकर कहेगा कि एक अंदर ई है
so we sayif b isin the skordh dot gs if we have b as an eisting [UNK]k then we append,"so, we say if b is in the scores, dot keys if we have b as an existing key then we append","हो ई पाइथन से नहीं है, लो के लिए समापन समारोह में देखने के लिए तैयार है"
her,a key error.,LECS
but its gust emphasising that oun we have exeption handling onder or control we m,but it is just emphasizing that once we have exception handling under our control we may,यहां हमारे पास यह फ़ंक्शन है जिसमें अब हम n intige से एक सूची और एक सूची और tdemed हैं
may be able to do thins differently from what we are use to and some times thies may,be able to do things differently from what we are used to and sometimes these may be,तो oblhe Name s eif मुझे t t values the मान अपडेट किया जा सकता है
ould like to do is provide a ad on how to deile wihthis eceptionan situation and,"would like to do is provide a plan, on how to deal with this exceptional situation and",तो के रूप में wre eite के लिए oure perposches के लिए ffik के लिए कि tuince बिना t के tuince provlome
thiscal resrese egecuting thescoue and this definition mit have yet an oth,"so, this call results in executing this code and this definition might have yet another",एक अंतरंग होना
in h we dos not put it in a trybe blok and so the eror is not hangdled,"in h we did not put it on a try block and so, the error is not handled.",तो यह हमें SKO के Aconset में लाता है
ac o what ev r caledt,back to whatever called it.,यह पायथन को बताने का एक तरीका है कि वह अपने एलियट टेन [अनक] डब्ल्यू ते [अनक] को भ्रमित न करें
then this era wil cale  to a bord,then this error will cause g to abort.,एक ईवीएफ के लिए संदर्भित अल मामलों में बाहर ईके के समान ही होते हैं और नेस्टेड होते हैं
s what io happen nectis that if  does not handlit then this wil go back to we,"so, what will happen next is that if g does not handle it then this will go back to where",बी
so eseption handling nas when something gous rong how do we provide corectof action,"so, exception handling may ask, when something goes wrong how do we provide corrective action.",गाउट सेट के अंदर एक
of core hiorarcicly we can cach it at any point,of calls hierarchically we can catch it at any point.,तो हम यह है कि हम यह शुरू में है कि हमारे पास पहले से ही पिन हैं
her from the pint ther is coalins,up from the point that is calling us.,thean ni v cuertion और we sa memoiation और danamik pro Grammin के रूप में ऐसा करने के लिए
te programe and hencs is much more protrrs and thefor s use fole to be able t,"the program and hence is much more prone to errors and therefore, is useful to be able",एक व्होलियन मैं नहीं देख रहा हूँ यह यह है कि आप क्या कर सकते हैं कि आप मूड के लिए स्पेलिंग कर सकते हैं
f al this what we reuiire is ae way of capturing these erers with in the program as it is doning,for all this what we require is a way of capturing these errors within the program as it is running,ny कैन आ सकता है से सेर से टी स्टे स्टे इंसर्ट इन इल थेरिस केवल जिस तरह से टी स्टेम्पिड मवाद है
anot hav notist the suty of thes for egampl when we rond python and we type someti,"not have noticed the subtelty of these for example, when we run python and we type something",बाएं बृहदान्त्र के साथ एक बाएं कैलोम पर हटाने के लिए आईएनजी तो ई अब कोमि को पार करता है
from a string to an intigor buthe string s is not a valie representation of an intior,from a string to an integer where the string s is not a valid representation of an integer.,नाव से नाव से नाव से जाने के लिए क्यों होस को कॉय छोड़ दिया
so what we arerely intested in is erors that happen in valed programssor,"so, what we are really interested in is errors that happen in valid programs.",ia ad a extrac Close जबकि कहते हैं कि भागों को ईओ है अगर एक खींचा गया y थेरे
that the nam is not define and we also get a cord a the biginin of the lin say,that the name is not defined and we also get a code at the beginning of the line saying,ive t nd yve n में लेकिन तन aewilheve की गणना करने के लिए फटे में
gives us and indecs er a name err an it sais clerely that the name ek is not define,"gives us an index error a name error and it says clearly that, the name x is not defined.",एलो में सबसे अच्छा मूल्य एक n पर है हमारे पास डोनमी है
an allong witha mei bevision v and finaly if we have a list sa  an then,"and along with the message division by 0 and finally, if we have a list say 1, 2 and then",हेमोसो एकान के लिए एक thes muppuumin l कुछ चिकित्सा r के कुछ
n we as for the position  then itwl say that there is notposition tew in the,we ask for the position three then it will say that there is no position three in this,तानी पोहिशन अपने आप को वासना के मूल्य को थॉर्नटन और अब iy शुरू करने के लिए है
i lis tseisis and,list.,o यहाँ एक पथ है यहाँ मैं में एक रास्ता है
o let us fpirswuicly sete on some dermin olay,let us first quickly settle on some terminology.,हैट मेन्स हैट कोई भी भागीदार वास्तविक रूप से रोजर की अनुमति देता है
as we sa it comes in te parts there is the typ of the ereer what cind of er,"and as we saw it comes in two parts, there is the type of the error give what kind of",दिशा में निर्देश तो यहाँ से सक्रिय रूप से सक्रिय रूप से iparts के लिए बाईं ओर से आ रहा है
be tring to rite refiyl but the dis is actualy ful,"be trying to write to a file, but the disc is actually full.","Potted मुझे सैम ud प्राप्त करना चाहिए, ऐसा करने के लिए एक कुरा रास्ता है"
ndowit stins las  i the previos r we lk at otherthing s e can do it sringl,"do with strings, last, in the previous lecture we looked at other things we can do string",स्टाइल में पहला तत्व इसलिए हम कर सकते हैं कि यह डाई ओ नॉरिस में कोई डायटेनल था
lik finiinas an al thisins o this is like that is in the same clas,"like, find, replace and all this things, so this is like that, it is in the same class.",इस्तांबुल एक पुनरावृत्त फैशन में नहीं wreccursit हम d o n 't चाहते हैं कि Al efo iga और फिर
the string her is actual gouing to cal a format metrdso the siars swad to,"so, the string here is actually going to call a format method. so, the easiest way to do",मैं लेकिन अलस हमें क्लाउड कॉमिन कई अलग -अलग आदेशों की आवश्यकता है ताकि हम क्यू
to funy things in ebraess the funy things in beraces ar of we taot,two funny things in braces. the funny things in braces are to be thought,ओएएस वार्षिक लेकिन यह एनटी मैट्र को तब तक करता है जब तक कि हम वास्तव में उन सभी मूल्यों को प्राप्त करते हैं जो हम nede करते हैं
ofas the ueulentof argument in a function thes r thins to be replacset b actual,"of as the equivalent of arguments in the function, these are things to be replaced by actual",Thaprice ecause जब आप कभी भी एक recurif cale बनाते हैं तो आप स्टोर में सिर्फ aspenda गणना कर रहे हैं
meter then th  refire to the ffirst argument and  refers  sekand arum so o,method then the 0 refers to the first argument and 1 refers to the second argument. so what,o atbruit partting ther एक सिचुएशन है जहां वू ous iemagine को elittrate कर सकता है
pasid python the resrltting thing is irst calin r[UNK]  ee cal en e because ef first,"it to python the resulting thing is first colon 47, second colon 11, because the first",यह बहुत ही क्लेर को फिर से बताने के लिए कि यह केवल शीर्ष या अल के साथ सभी तरह से आ सकता है
we shal do the same thing by nameso inserd of so this exactly lige definin a function  were,now we can do the same thing by name. this is exactly like defining a function where,हम वापस आते हैं और सुरक्षा या यह कभी नहीं होगा जैसा कि हम उसे नहीं आते हैं क्योंकि यह कभी नहीं होगा
o  it teys an optioal argument end equl to stringwich changes what we put,"however, it takes an optional argument end equal to string which changes what we put",बात एक विशाल संख्या में enruyss inswuere की तुलना में बहुत अधिक है
os [UNK]  an st as evs her we ar using the name and not the positionso the order in which yo i s,"as 47 and s as 11, so here by using the name not the position. so, the order in which you",Theflip पक्ष यह है कि प्रत्येक enriy जिसे हम मेमोर टेपल rekuirs wone dreusi को विज्ञापन देने के लिए nede
n a string and we ae tod us how to relace values for theplate orders in thissring,a string and we have told us how to replace values for place holders in the string. there,क्या हमें यह बताने के लिए कि हमें कितने मूव्स को मंग करना है
thers no weial formatinghabhs hapn because what ever we did with that we culd a ord,is no real formatting which has happened because whatever we did with that we could have already,"adif हम पाँच संस्कार चालों को फिर से तैयार करते हैं, फिर ओटेमैडिकल अल द रेस्टल बहुत कुछ है"
and then afso this ol thing this part of itfrom the formas have a blan,"and then a 4. this whole thing, this part of it comes from the format. so i have a blank",fhoustype isealy एक ही s t [unk] [unk] हू स्टेन क्योंकि हम ठंड भी दस u ns को ठंडा करते हैं
ipense a blangk spaise in a or becausey wus stored toput rin in a with of r and the cl,"space, a blank space and a 4, because i was told to put 4 in a width of 3 and think of",दूसरे को कम करने के लिए फिर बड़े फैक्टोरियोस को किराए पर लेना और फिर क्या सुन्न कर रहा है
